               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034401,             0.02323,           0.0012429,              0.8968,             0.80361,             0.88153,             0.54952,            0.034132,            0.036328,            0.001355,            0.070246,            0.003306,            0.003306
                   1,            0.038066,            0.024842,            0.001397,             0.90431,             0.78793,             0.86745,             0.51467,            0.035226,            0.038246,           0.0016774,            0.040027,           0.0064202,           0.0064202
                   2,            0.039195,            0.026104,           0.0018239,             0.86417,             0.71795,             0.80825,             0.46032,            0.037389,             0.04167,           0.0023533,           0.0095877,           0.0093145,           0.0093145
                   3,            0.039291,            0.027279,           0.0019772,             0.86683,             0.72189,             0.82234,             0.48419,            0.035922,            0.040428,           0.0019369,             0.00901,             0.00901,             0.00901
                   4,            0.038482,            0.026884,           0.0020209,             0.87315,             0.73417,              0.8219,             0.46408,             0.03575,            0.039806,           0.0020163,             0.00901,             0.00901,             0.00901
                   5,            0.037547,            0.026616,           0.0019797,             0.86819,             0.72886,             0.82954,             0.47791,            0.035814,            0.041097,           0.0020185,             0.00868,             0.00868,             0.00868
                   6,            0.037267,            0.026262,            0.001946,             0.86905,             0.76638,             0.85227,              0.4971,            0.035068,            0.039084,           0.0017725,             0.00835,             0.00835,             0.00835
                   7,            0.036905,            0.025855,           0.0018405,              0.8614,             0.78321,             0.84915,              0.5057,            0.034748,            0.038642,           0.0017033,             0.00802,             0.00802,             0.00802
                   8,            0.036437,            0.025917,           0.0018036,             0.87402,             0.75051,             0.84289,              0.4908,            0.035243,            0.039436,           0.0017943,             0.00769,             0.00769,             0.00769
                   9,            0.036188,            0.025624,           0.0018231,             0.86836,             0.77302,             0.85621,             0.49961,            0.034926,            0.038673,           0.0017297,             0.00736,             0.00736,             0.00736
                  10,            0.035709,            0.025275,            0.001705,             0.86828,             0.76336,             0.84858,             0.49697,            0.035114,            0.039505,           0.0017624,             0.00703,             0.00703,             0.00703
                  11,            0.035493,            0.025481,           0.0016642,             0.89171,              0.7767,             0.86234,             0.51814,            0.034114,             0.03795,           0.0016117,              0.0067,              0.0067,              0.0067
                  12,            0.035205,            0.024937,           0.0016165,             0.87843,             0.77909,             0.86443,             0.53251,            0.033756,             0.03775,            0.001527,             0.00637,             0.00637,             0.00637
                  13,            0.034987,            0.025091,           0.0015222,             0.87628,             0.78459,             0.86938,             0.53435,             0.03329,             0.03714,            0.001596,             0.00604,             0.00604,             0.00604
                  14,            0.034426,             0.02453,           0.0015264,             0.88632,             0.79326,             0.86995,              0.5326,            0.033372,              0.0372,           0.0014397,             0.00571,             0.00571,             0.00571
                  15,            0.034331,             0.02428,            0.001523,             0.89977,             0.78028,             0.87822,             0.54687,            0.032823,            0.036725,            0.001371,             0.00538,             0.00538,             0.00538
                  16,            0.033972,            0.024102,           0.0014348,             0.89292,              0.7929,             0.87769,             0.54625,            0.032701,            0.036807,           0.0014491,             0.00505,             0.00505,             0.00505
                  17,            0.033697,            0.023816,           0.0014472,             0.92024,             0.78879,             0.88442,             0.54746,            0.032774,            0.036528,           0.0013686,             0.00472,             0.00472,             0.00472
                  18,            0.033382,            0.023877,           0.0013744,             0.90163,             0.80652,             0.88856,             0.55541,            0.032341,            0.036411,           0.0013061,             0.00439,             0.00439,             0.00439
                  19,            0.033294,             0.02368,           0.0013245,             0.90249,             0.80443,             0.88141,             0.54834,            0.032249,            0.035883,            0.001389,             0.00406,             0.00406,             0.00406
                  20,             0.03312,            0.023483,           0.0013386,             0.90849,             0.79285,             0.87964,             0.55995,             0.03202,             0.03606,           0.0014221,             0.00373,             0.00373,             0.00373
                  21,            0.032787,            0.023556,           0.0012865,             0.91259,             0.79403,             0.87928,             0.55355,            0.032157,            0.036421,            0.001433,              0.0034,              0.0034,              0.0034
                  22,            0.032463,            0.022836,           0.0012326,             0.89861,             0.80876,             0.88756,             0.56977,            0.031646,            0.035365,           0.0013821,             0.00307,             0.00307,             0.00307
                  23,            0.032206,            0.023028,           0.0013399,              0.9086,             0.82385,             0.89535,             0.57142,            0.031496,            0.035363,           0.0012929,             0.00274,             0.00274,             0.00274
                  24,            0.032109,            0.022526,           0.0012597,             0.91234,             0.80874,             0.88613,             0.57035,            0.031311,            0.035212,           0.0013112,             0.00241,             0.00241,             0.00241
                  25,            0.031832,            0.022555,           0.0011845,             0.91475,             0.80033,             0.88807,              0.5716,            0.031367,            0.035143,           0.0013063,             0.00208,             0.00208,             0.00208
                  26,            0.031841,            0.022737,           0.0012019,             0.91287,             0.82177,             0.89978,             0.58258,            0.031009,            0.034837,           0.0012941,             0.00175,             0.00175,             0.00175
                  27,            0.031464,            0.022204,           0.0011677,             0.91338,             0.80538,             0.89121,             0.57901,            0.031055,            0.034896,           0.0013187,             0.00142,             0.00142,             0.00142
                  28,            0.031496,            0.022328,           0.0011476,             0.91577,              0.8202,             0.89562,             0.57799,            0.030936,            0.034776,           0.0012984,             0.00109,             0.00109,             0.00109
                  29,            0.031119,            0.022332,           0.0011813,             0.92008,              0.8126,             0.89501,             0.58439,            0.030694,            0.034299,           0.0012582,             0.00076,             0.00076,             0.00076
