               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11945,            0.046328,            0.053338,           0.0025219,             0.43264,           0.0035959,           0.0009271,             0.11558,            0.034318,             0.05197,              0.0847,              0.0017,              0.0017
                   1,             0.11222,            0.050627,            0.050348,           0.0049321,             0.50651,           0.0082107,           0.0020871,             0.10374,            0.038703,            0.045366,            0.068465,           0.0034654,           0.0034654
                   2,            0.099794,            0.059227,            0.043862,            0.006632,             0.60766,            0.020178,           0.0057747,            0.095735,            0.040174,            0.037455,            0.052195,           0.0051951,           0.0051951
                   3,            0.096092,            0.059553,            0.035978,            0.062946,            0.045932,             0.05308,            0.016268,            0.088421,            0.039308,            0.025803,            0.035889,           0.0068891,           0.0068891
                   4,            0.089179,            0.057781,            0.028111,             0.38355,            0.048556,            0.045363,            0.013959,            0.091115,            0.035668,            0.019443,            0.019548,           0.0085476,           0.0085476
                   5,            0.089185,             0.04954,            0.021272,             0.88112,            0.037402,            0.054743,             0.01648,            0.092108,            0.034719,             0.01608,            0.009505,            0.009505,            0.009505
                   6,            0.087591,            0.048486,             0.01906,            0.050229,             0.22712,            0.075855,            0.023164,            0.087061,            0.035082,            0.014539,            0.009505,            0.009505,            0.009505
                   7,            0.082654,            0.045282,            0.016705,            0.083306,             0.27951,             0.11142,            0.038921,            0.083065,            0.036604,            0.013756,            0.009406,            0.009406,            0.009406
                   8,            0.079828,            0.042487,            0.016144,             0.13845,             0.36093,              0.1425,            0.071514,            0.080501,            0.038514,            0.013039,            0.009307,            0.009307,            0.009307
                   9,            0.074732,            0.045742,            0.013339,             0.17526,             0.40767,             0.22837,            0.065725,             0.07437,            0.037803,            0.012707,            0.009208,            0.009208,            0.009208
                  10,            0.071429,            0.049759,            0.013981,             0.36125,             0.19234,            0.099417,              0.0261,            0.095351,            0.029632,            0.011673,            0.009109,            0.009109,            0.009109
