               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11218,            0.074941,             0.10473,                   0,                   0,                   0,                   0,             0.10401,            0.053238,             0.10329,              0.0721,              0.0031,              0.0031
                   1,             0.10879,            0.071813,             0.10365,                   0,                   0,                   0,                   0,             0.10402,            0.052922,             0.10332,            0.043238,           0.0062376,           0.0062376
                   2,             0.10484,            0.075591,             0.10231,                   0,                   0,                   0,                   0,              0.1046,            0.052126,             0.10325,            0.014312,           0.0093119,           0.0093119
                   3,              0.1027,            0.078336,             0.10137,                   0,                   0,                   0,                   0,             0.10356,             0.05208,             0.10271,            0.009703,            0.009703,            0.009703
                   4,             0.10099,            0.072982,            0.099459,          0.00056792,          0.00055451,          0.00029559,          6.9904e-05,            0.099057,            0.053749,              0.1004,            0.009703,            0.009703,            0.009703
                   5,              0.1005,            0.078367,            0.093172,           0.0014133,            0.038524,           0.0014441,          0.00041023,            0.097216,             0.05387,            0.091105,            0.009604,            0.009604,            0.009604
                   6,             0.09863,            0.077709,            0.090847,           0.0015837,            0.067669,           0.0015008,          0.00047744,            0.099165,            0.056325,            0.093479,            0.009505,            0.009505,            0.009505
                   7,            0.096323,            0.081652,            0.089651,            0.002057,            0.081873,           0.0023464,          0.00056667,            0.096643,            0.054219,            0.089052,            0.009406,            0.009406,            0.009406
                   8,            0.093086,             0.07687,            0.085399,           0.0020265,            0.077328,           0.0028534,           0.0009237,            0.094792,            0.055792,            0.088305,            0.009307,            0.009307,            0.009307
                   9,            0.091943,            0.077888,            0.087667,           0.0028298,            0.087865,           0.0035536,           0.0014386,             0.09338,            0.059331,            0.088815,            0.009208,            0.009208,            0.009208
                  10,            0.089652,            0.081283,            0.084771,           0.0042242,             0.10782,           0.0064082,           0.0020102,            0.093429,            0.053949,            0.086052,            0.009109,            0.009109,            0.009109
                  11,            0.088605,            0.072567,            0.084567,           0.0038131,              0.0936,           0.0051154,            0.002016,             0.08973,            0.055641,            0.084667,             0.00901,             0.00901,             0.00901
                  12,            0.086988,            0.079625,            0.083234,           0.0031925,            0.087257,            0.005367,           0.0015384,             0.08622,             0.05182,            0.082732,            0.008911,            0.008911,            0.008911
                  13,            0.084819,            0.076048,            0.083931,           0.0031691,            0.091477,            0.004633,           0.0014529,            0.085474,            0.053978,             0.08392,            0.008812,            0.008812,            0.008812
                  14,            0.084401,            0.072454,            0.082507,            0.004176,             0.13191,           0.0072187,           0.0021297,            0.086262,            0.049012,            0.080528,            0.008713,            0.008713,            0.008713
                  15,            0.083725,            0.072512,            0.081194,           0.0043433,             0.13526,            0.007443,           0.0022597,             0.08205,            0.051142,            0.079437,            0.008614,            0.008614,            0.008614
                  16,            0.082348,            0.082803,            0.081278,           0.0045478,             0.17786,            0.010416,           0.0031466,            0.080356,            0.053644,            0.079991,            0.008515,            0.008515,            0.008515
                  17,            0.079281,            0.077518,            0.078916,           0.0044005,              0.1745,            0.013132,           0.0046451,            0.078328,            0.055748,            0.079968,            0.008416,            0.008416,            0.008416
                  18,            0.079954,            0.073998,            0.078555,           0.0055601,             0.20821,            0.011601,           0.0039913,            0.079637,            0.052147,             0.07812,            0.008317,            0.008317,            0.008317
                  19,            0.077366,            0.074332,            0.081543,           0.0052624,             0.21331,            0.011467,           0.0034549,            0.079062,            0.052109,            0.077543,            0.008218,            0.008218,            0.008218
                  20,            0.081474,             0.07706,            0.078227,           0.0045027,             0.18075,             0.01089,           0.0035629,            0.083852,            0.050682,            0.076761,            0.008119,            0.008119,            0.008119
                  21,            0.079457,            0.070703,            0.078375,           0.0056721,             0.24363,            0.016632,           0.0061683,            0.077321,            0.050702,            0.075726,             0.00802,             0.00802,             0.00802
                  22,            0.077184,            0.074886,            0.079144,           0.0061669,             0.25313,            0.024511,           0.0082354,            0.075304,            0.050859,            0.075158,            0.007921,            0.007921,            0.007921
                  23,            0.075602,            0.074421,            0.077815,             0.81017,            0.031465,            0.024625,           0.0081197,            0.074369,            0.049774,            0.074498,            0.007822,            0.007822,            0.007822
                  24,            0.074989,            0.066836,            0.080878,           0.0075737,             0.29734,            0.026421,           0.0098716,             0.07637,            0.048832,            0.074147,            0.007723,            0.007723,            0.007723
                  25,            0.076449,            0.066877,            0.080357,           0.0066392,             0.27797,            0.028351,           0.0098297,            0.073152,            0.047758,            0.073297,            0.007624,            0.007624,            0.007624
                  26,            0.072318,            0.073806,            0.075699,           0.0075793,             0.27609,            0.028602,           0.0098296,            0.072905,            0.051389,            0.073246,            0.007525,            0.007525,            0.007525
                  27,            0.071302,             0.06403,            0.073768,            0.025226,             0.17601,            0.029078,            0.012759,            0.068645,            0.048059,            0.072574,            0.007426,            0.007426,            0.007426
                  28,            0.070488,            0.064145,            0.077313,             0.12291,             0.09734,            0.028254,           0.0093584,            0.074296,            0.046417,            0.072269,            0.007327,            0.007327,            0.007327
                  29,            0.069972,            0.074044,            0.075054,             0.73167,            0.059192,            0.030937,            0.010847,            0.071943,            0.051419,            0.071819,            0.007228,            0.007228,            0.007228
                  30,            0.074406,             0.07048,            0.073915,             0.74988,            0.067665,            0.038713,            0.013026,            0.069868,            0.048186,            0.071419,            0.007129,            0.007129,            0.007129
                  31,            0.072096,            0.070699,            0.074882,             0.76538,            0.062187,            0.043191,            0.016653,            0.068059,             0.04859,             0.07092,             0.00703,             0.00703,             0.00703
                  32,            0.068666,             0.06525,            0.076855,             0.78254,            0.064192,            0.045036,            0.017476,            0.065684,            0.049811,            0.070486,            0.006931,            0.006931,            0.006931
                  33,            0.068468,            0.067468,            0.075868,             0.77743,            0.061514,            0.039606,            0.014934,            0.071503,            0.049085,            0.070131,            0.006832,            0.006832,            0.006832
                  34,            0.068655,            0.070139,            0.072426,              0.7341,            0.066364,            0.050914,            0.020661,            0.066954,            0.049448,            0.069988,            0.006733,            0.006733,            0.006733
                  35,            0.070278,            0.067484,            0.071381,             0.80154,            0.065264,            0.053231,             0.01928,            0.065303,            0.045178,            0.069497,            0.006634,            0.006634,            0.006634
                  36,            0.066523,            0.069604,            0.076344,             0.77525,            0.067813,            0.058859,            0.025962,            0.065406,            0.044296,            0.069275,            0.006535,            0.006535,            0.006535
                  37,            0.066705,             0.06716,            0.073632,             0.77195,            0.074442,            0.054054,            0.019306,            0.067544,            0.045676,            0.068866,            0.006436,            0.006436,            0.006436
                  38,             0.06855,            0.071989,            0.070484,             0.73442,            0.075921,             0.06197,            0.025956,            0.064557,            0.045278,            0.068636,            0.006337,            0.006337,            0.006337
                  39,            0.068402,            0.069932,            0.074421,             0.74947,            0.075366,            0.054602,            0.020603,            0.066924,            0.046661,            0.068274,            0.006238,            0.006238,            0.006238
                  40,             0.06535,            0.069198,            0.070634,             0.73577,            0.075133,            0.059523,            0.023253,            0.062524,            0.045108,            0.067907,            0.006139,            0.006139,            0.006139
                  41,            0.065641,            0.063515,            0.069864,             0.74766,            0.077192,            0.063536,            0.026236,            0.061241,              0.0456,            0.067584,             0.00604,             0.00604,             0.00604
                  42,            0.064272,            0.065856,            0.069473,             0.84007,             0.06257,            0.060776,            0.026567,            0.062483,            0.046023,            0.067314,            0.005941,            0.005941,            0.005941
