               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038831,            0.048705,           0.0095733,             0.86374,             0.80664,             0.89115,             0.58542,            0.035462,            0.029241,            0.003132,            0.006436,            0.006436,            0.006436
                  38,            0.039023,            0.049626,            0.011239,              0.8747,              0.8308,             0.89889,             0.58311,            0.036084,            0.029029,           0.0030726,            0.006337,            0.006337,            0.006337
                  39,            0.041005,            0.050562,           0.0084981,             0.87569,             0.82815,             0.89724,             0.58086,            0.036847,            0.028962,           0.0029409,            0.006238,            0.006238,            0.006238
                  40,            0.039026,            0.049326,            0.008613,             0.86073,             0.83863,             0.89152,             0.59348,            0.034564,            0.028684,           0.0029604,            0.006139,            0.006139,            0.006139
                  41,            0.040671,            0.045266,            0.010741,             0.85691,             0.84621,             0.89978,             0.61221,            0.035185,            0.028034,           0.0029696,             0.00604,             0.00604,             0.00604
                  42,            0.038938,            0.045517,           0.0086337,             0.89198,             0.84554,             0.90396,             0.62265,            0.034334,            0.028056,           0.0030265,            0.005941,            0.005941,            0.005941
                  43,            0.038463,             0.04418,           0.0086718,              0.8968,             0.83464,             0.90407,             0.61706,            0.034075,            0.028123,            0.003073,            0.005842,            0.005842,            0.005842
                  44,            0.038476,            0.046882,           0.0085372,             0.88019,             0.84511,             0.90528,              0.5854,            0.037439,            0.028139,           0.0029546,            0.005743,            0.005743,            0.005743
                  45,            0.038643,            0.047058,           0.0079527,             0.90041,             0.82686,             0.91522,             0.60706,             0.03544,            0.027979,           0.0028626,            0.005644,            0.005644,            0.005644
                  46,            0.036719,            0.042806,           0.0090549,             0.90288,             0.83733,               0.912,             0.62375,            0.033996,            0.027941,            0.002819,            0.005545,            0.005545,            0.005545
                  47,            0.037478,            0.045939,           0.0088747,             0.84798,             0.86566,             0.91515,             0.62822,            0.032404,            0.027604,           0.0028192,            0.005446,            0.005446,            0.005446
                  48,            0.037243,            0.042246,           0.0080004,             0.84039,             0.87844,             0.91254,             0.63096,            0.033452,            0.027424,           0.0029138,            0.005347,            0.005347,            0.005347
                  49,             0.03725,            0.053714,           0.0075621,              0.8304,             0.89115,             0.92918,             0.64123,            0.033005,            0.027231,           0.0028808,            0.005248,            0.005248,            0.005248
                  50,            0.038473,            0.048172,           0.0077238,             0.85489,             0.88958,             0.92892,             0.65697,            0.032719,            0.027451,           0.0028119,            0.005149,            0.005149,            0.005149
                  51,            0.035974,            0.041423,           0.0079498,             0.84819,             0.87414,              0.9218,             0.63743,            0.032745,            0.027326,           0.0027737,             0.00505,             0.00505,             0.00505
                  52,             0.03631,            0.043456,            0.006223,             0.84252,             0.87199,             0.92202,              0.6236,            0.032646,            0.026875,           0.0027114,            0.004951,            0.004951,            0.004951
                  53,            0.038303,            0.045929,           0.0076398,             0.91052,              0.8338,             0.91836,             0.63039,              0.0333,            0.026747,           0.0026239,            0.004852,            0.004852,            0.004852
                  54,            0.037929,             0.04121,           0.0075661,             0.88551,             0.84955,             0.92502,             0.64686,            0.031829,            0.026617,           0.0026006,            0.004753,            0.004753,            0.004753
                  55,            0.037089,             0.04838,           0.0074301,             0.89046,             0.85331,             0.92034,             0.64936,            0.032029,            0.026683,           0.0025938,            0.004654,            0.004654,            0.004654
                  56,            0.037131,            0.041989,           0.0089145,             0.86021,             0.87763,             0.92606,             0.66393,            0.031204,            0.026324,           0.0025701,            0.004555,            0.004555,            0.004555
                  57,            0.034738,            0.044853,           0.0065538,             0.89192,             0.84984,             0.92355,              0.6516,            0.031545,            0.026463,           0.0025389,            0.004456,            0.004456,            0.004456
                  58,            0.034887,            0.039875,             0.00631,             0.91335,             0.82989,              0.9178,              0.6639,            0.030937,            0.026386,           0.0025234,            0.004357,            0.004357,            0.004357
                  59,            0.035775,            0.038014,           0.0073044,             0.91837,             0.82588,             0.92303,               0.655,            0.031195,            0.026459,           0.0025214,            0.004258,            0.004258,            0.004258
                  60,            0.035563,            0.046415,           0.0062556,             0.90305,             0.84214,             0.92122,              0.6556,            0.031333,            0.026005,           0.0024954,            0.004159,            0.004159,            0.004159
                  61,            0.035628,            0.040441,           0.0068571,             0.86489,             0.85814,             0.91708,             0.64868,            0.031424,            0.025879,           0.0024534,             0.00406,             0.00406,             0.00406
                  62,            0.036664,             0.04049,           0.0076888,             0.90001,             0.85636,             0.92837,             0.65648,             0.03133,             0.02561,           0.0024727,            0.003961,            0.003961,            0.003961
                  63,            0.034648,            0.038628,           0.0065801,             0.86727,             0.87166,             0.92554,             0.67089,            0.030208,            0.025403,           0.0024967,            0.003862,            0.003862,            0.003862
                  64,            0.036195,            0.042926,           0.0070173,              0.8534,               0.904,             0.93074,              0.6699,            0.030261,            0.025449,            0.002476,            0.003763,            0.003763,            0.003763
                  65,            0.033498,            0.042435,           0.0063449,             0.87089,             0.89136,              0.9288,              0.6766,            0.030607,            0.025218,           0.0024571,            0.003664,            0.003664,            0.003664
                  66,            0.035313,            0.045187,           0.0062939,             0.87499,             0.88976,             0.93119,             0.67844,             0.03057,             0.02524,           0.0024619,            0.003565,            0.003565,            0.003565
                  67,             0.03453,            0.044325,           0.0066474,             0.88883,             0.88568,             0.93006,             0.67676,            0.030188,            0.024907,           0.0024305,            0.003466,            0.003466,            0.003466
                  68,            0.034019,            0.040177,           0.0058518,             0.88962,             0.87952,             0.92241,             0.67549,            0.030164,            0.024675,           0.0023922,            0.003367,            0.003367,            0.003367
                  69,            0.036335,            0.045765,           0.0065186,             0.89843,             0.87645,             0.92782,             0.67695,            0.029707,            0.024648,           0.0024045,            0.003268,            0.003268,            0.003268
                  70,             0.03393,            0.042654,            0.006282,             0.89103,             0.87425,             0.93358,             0.67298,              0.0302,             0.02467,           0.0023841,            0.003169,            0.003169,            0.003169
                  71,            0.034819,            0.043812,           0.0063228,             0.88735,             0.87431,             0.92961,             0.68417,            0.029086,            0.024338,           0.0023529,             0.00307,             0.00307,             0.00307
                  72,            0.034511,            0.044251,           0.0058667,              0.8991,             0.87555,             0.93435,             0.69245,             0.02911,            0.024329,           0.0023256,            0.002971,            0.002971,            0.002971
                  73,            0.033552,            0.040537,           0.0069569,             0.89735,             0.88399,             0.93401,              0.6908,            0.028984,            0.024299,           0.0022947,            0.002872,            0.002872,            0.002872
                  74,             0.03319,            0.043687,            0.007004,             0.89385,             0.87805,             0.93006,             0.69009,             0.02871,            0.024134,           0.0022394,            0.002773,            0.002773,            0.002773
                  75,            0.033095,            0.046909,           0.0064447,             0.89396,             0.88399,             0.93286,             0.69579,            0.028401,            0.024113,           0.0022182,            0.002674,            0.002674,            0.002674
                  76,            0.032929,            0.039484,           0.0062672,             0.88915,             0.90085,              0.9395,             0.70128,             0.02832,            0.024094,           0.0022317,            0.002575,            0.002575,            0.002575
                  77,            0.032654,              0.0402,           0.0064726,             0.88724,             0.89631,             0.94104,             0.69445,            0.028367,             0.02411,           0.0022282,            0.002476,            0.002476,            0.002476
                  78,            0.032307,            0.037656,            0.005973,             0.87946,             0.90698,             0.93873,             0.70333,            0.027918,            0.023951,           0.0022134,            0.002377,            0.002377,            0.002377
                  79,            0.031902,            0.035775,           0.0061082,             0.87511,             0.90835,             0.93638,              0.6988,            0.027777,            0.023677,            0.002194,            0.002278,            0.002278,            0.002278
                  80,            0.029723,            0.035622,           0.0057595,             0.87656,             0.90465,             0.93726,              0.7096,            0.027411,            0.023334,           0.0021819,            0.002179,            0.002179,            0.002179
                  81,            0.032072,            0.040325,           0.0061016,             0.87081,             0.90868,             0.93586,              0.7064,            0.027411,            0.023112,           0.0021696,             0.00208,             0.00208,             0.00208
