               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072197,            0.045483,            0.011626,              0.8092,             0.38811,             0.44708,             0.19153,            0.050244,            0.056455,            0.006384,            0.070028,           0.0033302,           0.0033302
                   1,             0.05449,            0.038688,            0.005981,             0.83602,             0.43125,             0.52774,             0.26347,            0.042649,            0.053695,           0.0055471,            0.038709,           0.0053442,           0.0053442
                   2,            0.048655,            0.036642,           0.0050307,             0.77084,              0.5447,             0.65689,             0.33721,            0.040039,            0.050853,           0.0043886,           0.0060693,           0.0060381,           0.0060381
                   3,            0.042246,            0.034744,           0.0038589,             0.77267,             0.66376,             0.74103,             0.41148,            0.035289,            0.048251,            0.003002,             0.00406,             0.00406,             0.00406
                   4,            0.040341,            0.033941,           0.0032134,             0.83352,             0.68411,             0.77752,             0.43939,            0.033872,            0.046967,           0.0024644,             0.00406,             0.00406,             0.00406
