               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075698,            0.058216,            0.016841,             0.77601,             0.35471,             0.40152,             0.16742,            0.053496,             0.06283,           0.0089825,            0.070016,           0.0033316,           0.0033316
                   1,            0.058871,            0.042857,           0.0070332,             0.82314,             0.40354,             0.47215,             0.22343,            0.047109,            0.058188,           0.0060589,            0.039576,            0.006225,            0.006225
                   2,            0.054795,            0.039836,           0.0058003,             0.84516,             0.42255,             0.51067,             0.25563,            0.044283,            0.055007,           0.0055519,           0.0086963,           0.0086785,           0.0086785
                   3,            0.049384,            0.037991,           0.0052858,             0.85365,             0.42924,             0.53221,             0.27389,            0.041248,            0.052422,           0.0048982,             0.00802,             0.00802,             0.00802
                   4,            0.046152,            0.036704,           0.0047127,             0.55956,             0.65772,             0.65273,             0.34748,            0.037767,            0.050808,           0.0041612,             0.00802,             0.00802,             0.00802
                   5,            0.043775,            0.036065,           0.0039131,             0.75806,             0.62556,             0.70757,             0.37861,            0.036075,            0.048774,           0.0031777,             0.00736,             0.00736,             0.00736
                   6,            0.041373,            0.034571,           0.0032834,             0.80456,             0.64822,             0.75293,              0.4141,            0.035215,            0.047509,           0.0026907,              0.0067,              0.0067,              0.0067
                   7,            0.039427,            0.033672,           0.0028983,             0.81987,             0.68336,             0.77359,             0.44057,            0.033433,            0.046394,           0.0022865,             0.00604,             0.00604,             0.00604
                   8,            0.037801,            0.032969,           0.0025739,             0.84038,             0.70665,             0.79372,             0.45253,             0.03289,            0.045517,           0.0019781,             0.00538,             0.00538,             0.00538
                   9,            0.036822,            0.032615,           0.0024349,             0.84254,             0.72119,             0.80531,             0.46746,            0.032018,            0.044665,            0.001794,             0.00472,             0.00472,             0.00472
                  10,            0.035885,            0.031932,           0.0022166,             0.86862,             0.72933,             0.82175,             0.48061,            0.031472,            0.043761,           0.0016326,             0.00406,             0.00406,             0.00406
                  11,            0.034847,            0.031729,           0.0020404,             0.87502,             0.73597,             0.82911,             0.48464,            0.030915,            0.043336,           0.0014952,              0.0034,              0.0034,              0.0034
                  12,            0.034192,            0.030967,           0.0020062,             0.87293,             0.75118,             0.84067,             0.50433,             0.03023,            0.042446,           0.0013775,             0.00274,             0.00274,             0.00274
                  13,            0.033543,            0.030915,            0.001788,             0.86875,             0.75537,             0.84555,             0.50762,            0.029852,            0.041938,           0.0013052,             0.00208,             0.00208,             0.00208
                  14,            0.033099,            0.030229,           0.0017041,              0.8866,              0.7584,             0.85496,             0.51621,             0.02948,            0.041472,           0.0012182,             0.00142,             0.00142,             0.00142
