               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11018,            0.079781,             0.10577,                   0,                   0,                   0,                   0,             0.10405,            0.053422,             0.10326,              0.0721,              0.0031,              0.0031
                   1,             0.10788,             0.07417,             0.10485,                   0,                   0,                   0,                   0,             0.10359,            0.053875,             0.10326,            0.043238,           0.0062376,           0.0062376
                   2,             0.10701,            0.075009,             0.10458,                   0,                   0,                   0,                   0,             0.10347,            0.054015,             0.10327,            0.014312,           0.0093119,           0.0093119
                   3,             0.10608,            0.076645,             0.10416,          0.00016334,           0.0033199,          0.00012286,          3.4575e-05,             0.10372,            0.053495,             0.10336,            0.009703,            0.009703,            0.009703
                   4,             0.10567,            0.072073,             0.10349,           0.0001923,           0.0017488,          0.00010414,           4.061e-05,              0.1335,              0.5482,              1.4177,            0.009703,            0.009703,            0.009703
                   5,              0.1051,            0.079776,             0.10299,          0.00039867,           0.0091063,          0.00024345,          5.6337e-05,                 nan,                 nan,                1.32,            0.009604,            0.009604,            0.009604
                   6,             0.10484,             0.07895,             0.10257,          0.00021148,           0.0035211,          0.00017485,          5.2019e-05,             0.12796,              0.1856,              1.6489,            0.009505,            0.009505,            0.009505
                   7,              0.1038,            0.083651,             0.10252,            0.014185,           0.0035211,          6.9713e-05,          2.2522e-05,                 nan,                 nan,               1.366,            0.009406,            0.009406,            0.009406
                   8,             0.10303,            0.080401,              0.1017,          5.5596e-05,           0.0013916,          2.9586e-05,          6.5854e-06,             0.12171,            0.076198,             0.67826,            0.009307,            0.009307,            0.009307
                   9,             0.10309,            0.081891,             0.10204,          0.00029289,           0.0086142,          0.00023928,          4.5419e-05,             0.11751,            0.048569,             0.37041,            0.009208,            0.009208,            0.009208
                  10,             0.10221,            0.085183,              0.1013,          8.0684e-05,           0.0030914,          4.6183e-05,          1.2591e-05,             0.11598,            0.046863,             0.36541,            0.009109,            0.009109,            0.009109
                  11,             0.10198,            0.075199,             0.10113,          9.8487e-05,           0.0048519,          7.1302e-05,          2.8646e-05,             0.11549,            0.046996,             0.41894,             0.00901,             0.00901,             0.00901
                  12,             0.10083,             0.08458,             0.10132,          0.00019829,            0.001712,          9.9905e-05,          2.8873e-05,             0.11545,            0.047133,             0.34613,            0.008911,            0.008911,            0.008911
                  13,             0.10135,            0.079321,             0.10045,              0.1836,           0.0048264,          0.00029437,          8.3843e-05,             0.11211,            0.049985,             0.25701,            0.008812,            0.008812,            0.008812
                  14,             0.10166,            0.076579,             0.10056,              0.3669,            0.003632,           0.0002813,           0.0001044,              0.1095,            0.050327,             0.17324,            0.008713,            0.008713,            0.008713
                  15,             0.10029,            0.078812,            0.099108,             0.40915,           0.0035766,          0.00047377,          0.00016124,             0.10662,            0.051843,             0.13692,            0.008614,            0.008614,            0.008614
                  16,             0.10146,            0.087219,            0.099382,          4.3231e-05,           0.0024953,          3.1803e-05,          9.1584e-06,             0.10707,            0.050836,             0.14927,            0.008515,            0.008515,            0.008515
