               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10586,            0.064798,            0.029303,           0.0009151,            0.063505,          0.00063888,          0.00017176,            0.096928,             0.10115,            0.023763,            0.070252,           0.0033053,           0.0033053
                   1,            0.088003,            0.055569,            0.014843,             0.72784,            0.082431,            0.044604,            0.010874,            0.082471,            0.092707,             0.01487,            0.040186,           0.0065729,           0.0065729
                   2,            0.076055,            0.051108,            0.010654,             0.54587,              0.1974,             0.15455,            0.053011,            0.069823,            0.090156,           0.0087881,            0.010055,           0.0097745,           0.0097745
                   3,            0.065287,            0.048096,           0.0073451,             0.65411,             0.24975,             0.25837,            0.091012,             0.06523,            0.071378,           0.0085909,            0.009703,            0.009703,            0.009703
                   4,             0.05837,            0.045596,           0.0063898,             0.68236,             0.35035,             0.35921,             0.15296,            0.053247,            0.067087,           0.0060433,            0.009703,            0.009703,            0.009703
                   5,             0.05437,            0.043947,           0.0059989,             0.78094,             0.35552,              0.4369,             0.19984,            0.048664,            0.061256,            0.006416,            0.009604,            0.009604,            0.009604
                   6,            0.051988,            0.042325,            0.005594,             0.50066,             0.38745,             0.43365,             0.20413,            0.046283,            0.061715,           0.0056453,            0.009505,            0.009505,            0.009505
                   7,            0.050272,            0.041263,           0.0051064,             0.49942,             0.51201,             0.50755,             0.24109,            0.044584,            0.058322,           0.0046607,            0.009406,            0.009406,            0.009406
                   8,             0.04867,            0.040808,            0.004742,             0.57504,             0.53383,             0.54755,             0.26011,            0.043107,            0.056318,            0.004269,            0.009307,            0.009307,            0.009307
                   9,            0.047318,            0.039785,           0.0043409,             0.61158,             0.51988,              0.5678,             0.26665,            0.042427,            0.055218,           0.0041761,            0.009208,            0.009208,            0.009208
                  10,            0.045913,            0.038913,           0.0039755,              0.6561,             0.57374,              0.6119,              0.3004,            0.041193,             0.05409,           0.0037182,            0.009109,            0.009109,            0.009109
                  11,            0.045022,            0.039094,           0.0039337,             0.68895,             0.56588,             0.62294,               0.307,            0.040372,            0.054363,           0.0034956,             0.00901,             0.00901,             0.00901
                  12,            0.044249,            0.037904,           0.0036389,             0.69268,             0.56446,             0.63399,             0.31661,            0.039434,            0.052972,           0.0031862,            0.008911,            0.008911,            0.008911
                  13,            0.043609,            0.037832,           0.0034049,             0.71662,             0.60296,             0.66423,             0.33641,            0.038744,            0.051278,           0.0029408,            0.008812,            0.008812,            0.008812
                  14,            0.042782,               0.037,           0.0032136,             0.69534,             0.60161,             0.66133,             0.34099,            0.038481,            0.051501,           0.0029626,            0.008713,            0.008713,            0.008713
                  15,             0.04244,            0.036555,            0.003095,             0.74696,             0.60318,             0.68749,             0.35077,             0.03763,            0.050684,           0.0026799,            0.008614,            0.008614,            0.008614
                  16,            0.041671,            0.036133,           0.0029572,             0.74999,             0.63586,             0.69867,             0.36461,            0.037402,            0.050063,           0.0026337,            0.008515,            0.008515,            0.008515
                  17,            0.041036,            0.035681,           0.0028079,             0.76316,             0.62584,             0.71085,              0.3734,             0.03688,            0.049389,           0.0024504,            0.008416,            0.008416,            0.008416
                  18,            0.040602,            0.035626,            0.002695,             0.77343,             0.63231,             0.71405,             0.37231,             0.03645,            0.049329,           0.0024253,            0.008317,            0.008317,            0.008317
                  19,            0.040156,            0.035143,           0.0025857,             0.77807,             0.65404,             0.72898,             0.37609,            0.036313,            0.049012,           0.0023831,            0.008218,            0.008218,            0.008218
                  20,            0.039942,            0.034737,            0.002596,             0.76395,             0.66426,             0.72286,             0.38479,            0.035735,            0.048364,           0.0023266,            0.008119,            0.008119,            0.008119
