               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10567,            0.065247,            0.029352,           0.0013832,            0.095945,           0.0011318,          0.00028126,            0.096417,               0.102,            0.021579,            0.070246,            0.003306,            0.003306
                   1,            0.088895,            0.056403,            0.015091,             0.73967,            0.088247,             0.04929,            0.014905,            0.080088,             0.10329,             0.01451,             0.04018,           0.0065736,           0.0065736
                   2,            0.076109,            0.051248,             0.01101,             0.54975,             0.19062,             0.15876,            0.052743,            0.070724,            0.088711,           0.0092768,            0.010048,           0.0097752,           0.0097752
                   3,            0.065073,            0.048171,            0.007413,             0.67819,             0.27916,             0.29916,             0.11325,            0.058619,            0.068793,           0.0068059,            0.009703,            0.009703,            0.009703
                   4,            0.058732,            0.045845,           0.0064089,             0.68755,             0.29896,             0.32274,             0.13579,            0.055078,            0.071711,           0.0064027,            0.009703,            0.009703,            0.009703
                   5,            0.054989,            0.044316,           0.0059173,             0.75513,             0.35338,             0.42672,             0.19264,            0.049789,              0.0646,           0.0059456,            0.009604,            0.009604,            0.009604
                   6,            0.052246,             0.04261,           0.0055044,             0.44935,             0.43697,              0.4257,             0.18819,            0.048461,            0.065501,           0.0049691,            0.009505,            0.009505,            0.009505
                   7,            0.050251,            0.041385,           0.0049817,             0.56779,             0.50839,             0.51183,             0.23857,            0.045525,            0.060843,           0.0043894,            0.009406,            0.009406,            0.009406
                   8,            0.048602,            0.040909,           0.0046481,             0.63199,             0.50018,             0.55183,             0.25889,            0.044694,            0.059909,           0.0041017,            0.009307,            0.009307,            0.009307
                   9,            0.047284,            0.039808,           0.0042962,             0.63807,             0.54881,             0.57469,             0.27442,            0.042098,            0.057179,           0.0038039,            0.009208,            0.009208,            0.009208
                  10,            0.046387,            0.039201,           0.0039531,             0.67657,             0.52276,              0.5779,             0.27478,            0.042845,            0.059138,           0.0042202,            0.009109,            0.009109,            0.009109
                  11,            0.045165,            0.039086,           0.0038709,             0.68309,             0.57144,             0.62408,             0.30515,            0.041123,            0.055891,           0.0034828,             0.00901,             0.00901,             0.00901
                  12,            0.044419,            0.037921,           0.0036157,             0.68073,             0.57029,             0.64131,             0.31621,            0.040042,            0.055722,           0.0031144,            0.008911,            0.008911,            0.008911
                  13,            0.043781,            0.037897,           0.0034002,             0.74634,             0.58548,             0.66084,              0.3292,            0.038874,            0.053431,           0.0030205,            0.008812,            0.008812,            0.008812
                  14,            0.042842,             0.03698,           0.0032369,             0.76591,             0.56518,             0.65995,             0.32991,            0.039274,             0.05366,           0.0028573,            0.008713,            0.008713,            0.008713
                  15,             0.04237,            0.036551,           0.0030432,             0.77052,             0.58946,             0.67341,             0.34194,            0.038559,            0.053346,           0.0025637,            0.008614,            0.008614,            0.008614
                  16,             0.04179,            0.036142,           0.0029591,             0.75423,             0.60855,             0.67983,             0.35297,            0.038122,            0.052689,           0.0028535,            0.008515,            0.008515,            0.008515
                  17,            0.041002,             0.03567,           0.0028031,             0.82108,             0.61003,             0.71155,             0.37052,            0.036783,            0.051394,             0.00221,            0.008416,            0.008416,            0.008416
                  18,            0.040683,            0.035616,           0.0027305,             0.79185,             0.62615,             0.71799,             0.37094,            0.036601,            0.050238,           0.0022825,            0.008317,            0.008317,            0.008317
                  19,            0.040408,            0.035191,           0.0025873,             0.79616,             0.63709,             0.72056,             0.37509,            0.036819,            0.051279,           0.0021844,            0.008218,            0.008218,            0.008218
                  20,            0.039915,            0.034843,           0.0025948,             0.78683,             0.65462,             0.73576,             0.39485,            0.035891,            0.049685,           0.0021627,            0.008119,            0.008119,            0.008119
                  21,            0.039501,            0.035058,           0.0024537,             0.80184,              0.6491,             0.74038,             0.39265,            0.035481,             0.04938,           0.0021399,             0.00802,             0.00802,             0.00802
                  22,            0.039164,             0.03409,           0.0024005,             0.81888,             0.66611,             0.75802,             0.40981,            0.035202,            0.049142,           0.0019885,            0.007921,            0.007921,            0.007921
                  23,            0.038712,            0.034217,           0.0023682,             0.80616,             0.65497,             0.74009,             0.39498,              0.0349,            0.048975,           0.0020312,            0.007822,            0.007822,            0.007822
                  24,             0.03853,            0.033533,           0.0022151,             0.83411,             0.67662,             0.76764,             0.41811,            0.034475,            0.048405,            0.001958,            0.007723,            0.007723,            0.007723
                  25,            0.037993,            0.033511,           0.0021723,             0.83387,             0.66779,             0.76524,             0.41636,            0.034437,            0.048218,           0.0018954,            0.007624,            0.007624,            0.007624
                  26,            0.037797,            0.033714,           0.0021399,             0.84411,             0.68371,             0.77482,             0.43036,            0.033988,            0.047891,           0.0018004,            0.007525,            0.007525,            0.007525
                  27,            0.037417,              0.0331,           0.0020815,             0.81917,             0.70013,             0.77818,             0.42843,            0.033803,            0.047272,           0.0018212,            0.007426,            0.007426,            0.007426
                  28,            0.037473,            0.033334,           0.0020242,             0.83368,             0.69973,             0.78885,             0.43895,            0.033425,             0.04701,           0.0017936,            0.007327,            0.007327,            0.007327
