               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039685,            0.028182,           0.0022775,             0.86411,             0.72349,             0.82015,             0.47411,            0.036496,            0.040462,           0.0019956,            0.006535,            0.006535,            0.006535
                  37,            0.039475,             0.02823,           0.0023144,             0.87072,             0.72936,             0.82683,             0.47804,            0.036574,            0.040722,           0.0019845,            0.006436,            0.006436,            0.006436
                  38,            0.039068,            0.028084,           0.0022386,             0.87441,             0.74179,             0.83366,             0.48207,            0.036233,            0.040049,           0.0018563,            0.006337,            0.006337,            0.006337
                  39,            0.039001,            0.027674,            0.002121,             0.85967,             0.74541,             0.83444,             0.48127,            0.036281,            0.040276,           0.0018421,            0.006238,            0.006238,            0.006238
                  40,            0.038798,            0.027433,           0.0021923,             0.84017,             0.76558,             0.83723,              0.4891,            0.036135,            0.040385,            0.001725,            0.006139,            0.006139,            0.006139
                  41,            0.038577,            0.027602,           0.0021475,              0.8725,             0.73917,             0.83246,             0.49371,            0.035793,            0.039446,           0.0018245,             0.00604,             0.00604,             0.00604
                  42,             0.03839,            0.027489,           0.0020971,             0.87913,             0.75923,             0.84862,             0.49621,            0.035544,            0.039037,           0.0017369,            0.005941,            0.005941,            0.005941
                  43,            0.038514,            0.027319,           0.0021198,             0.86659,              0.7527,             0.83726,             0.49451,            0.035298,            0.039097,           0.0017009,            0.005842,            0.005842,            0.005842
                  44,            0.038016,            0.027018,           0.0020038,             0.88664,             0.74617,             0.83976,             0.49245,            0.035403,            0.039494,           0.0016974,            0.005743,            0.005743,            0.005743
                  45,            0.038091,            0.026836,           0.0019495,             0.87405,             0.75756,             0.84833,             0.50228,            0.035245,            0.039315,           0.0017647,            0.005644,            0.005644,            0.005644
                  46,            0.037945,            0.026986,            0.001905,             0.88352,             0.75224,             0.84453,               0.503,            0.034994,            0.038875,           0.0016852,            0.005545,            0.005545,            0.005545
                  47,            0.037509,            0.027033,           0.0019524,             0.86547,             0.76613,             0.84754,             0.50611,            0.034825,             0.03838,           0.0016587,            0.005446,            0.005446,            0.005446
                  48,            0.037388,            0.026603,           0.0019964,             0.89477,             0.76087,              0.8568,             0.50966,            0.034881,            0.038574,           0.0016462,            0.005347,            0.005347,            0.005347
                  49,            0.037339,            0.026623,           0.0018964,             0.87583,             0.77258,             0.85772,             0.50943,            0.034841,            0.038522,           0.0016479,            0.005248,            0.005248,            0.005248
                  50,            0.037055,            0.026431,           0.0018203,             0.88688,             0.76334,             0.85459,             0.51383,            0.034713,            0.038302,           0.0017235,            0.005149,            0.005149,            0.005149
                  51,            0.037074,            0.026127,           0.0018658,             0.90906,              0.7741,             0.85794,             0.51513,            0.034474,            0.038253,           0.0016406,             0.00505,             0.00505,             0.00505
                  52,            0.037053,            0.026258,           0.0017782,             0.89838,             0.76038,             0.85823,             0.51208,            0.034653,             0.03862,           0.0016134,            0.004951,            0.004951,            0.004951
                  53,            0.036871,            0.026072,           0.0017755,             0.90248,             0.76553,             0.86469,             0.52121,            0.034202,            0.037879,           0.0015816,            0.004852,            0.004852,            0.004852
                  54,            0.036535,            0.026326,           0.0018242,             0.89759,             0.76389,             0.85462,             0.52194,            0.033985,             0.03761,           0.0015519,            0.004753,            0.004753,            0.004753
